product_slug,seat_height_min,seat_height_max,seat_depth_min,seat_depth_max,seat_depth_fixed,seat_width,weight_capacity,armrest_floor_height_min,armrest_floor_height_max,evidence_type,source_title,source_url,checked_on,notes
steelcase-series-1,41.9,54.6,39.4,45.1,,49.5,,58.4,82.6,manufacturer,Steelcase Series 1 February 2024 specification guide,https://www.steelcase.com/resources/documents/series-1-spec-guide/,2026-09-20,Standard work-chair cylinder. Functional depth 15.5-17.75 inches; seat height 16.5-21.5; width 19.5; arm-to-floor 23-32.5. Optional cylinders and stools excluded.
steelcase-series-2,41.9,54.6,,,,50.8,,60.3,83.2,manufacturer,Steelcase Series 2 February 2024 specification guide,https://www.steelcase.com/resources/documents/series-2-spec-guide/,2026-09-20,Standard work-chair cylinder. Seat height 16.5-21.5 inches; width 20; arm-to-floor 23.75-32.75. Depth withheld because upholstered and AirBack variants differ; existing depth is not verified by this row.
steelcase-think-v2,41.9,54.6,39.4,45.7,,51.4,,,,manufacturer,Steelcase Think 465 February 2024 specification guide,https://www.steelcase.com/resources/documents/think-spec-guide/,2026-09-20,Standard work-chair cylinder. Seat height 16.5-21.5 inches; functional depth 15.5-18; width 20.25. Arm-floor diagram appears inconsistent with adjustable arms and is withheld.
steelcase-amia,40.6,53.3,39.4,47.0,,49.2,,,,manufacturer,Steelcase Seating April 2021 specification guide page 132,https://www.steelcase.com/content/uploads/2021/04/seating-1.pdf,2026-09-20,Standard Amia work chair. Seat height 16-21 inches; functional depth 15.5-18.5; width 19.375. Arm-floor values differ across revisions and are withheld.
steelcase-karman,40.2,51.9,,,43.8,,,,,manufacturer,Steelcase Karman specification guide March 2023,https://www.steelcase.com/content/uploads/2023/03/Karman-Spec-Guide.pdf,2026-09-20,Standard work-chair cylinder. Height 15.8125-20.4375 inches; fixed seat depth 17.25. Low and high cylinders and stools excluded. Fixed depth replaces any stale adjustable-depth keys.
branch-ergonomic-chair,43.2,53.3,45.7,55.9,,,124.7,,,manufacturer,Branch Ergonomic Chair product specifications,https://www.branchfurniture.com/collections/ergonomic-collection/products/ergonomic-chair,2026-09-20,Standard original Ergonomic Chair; not Pro or Lite. Published height 17-21 inches and depth 18-22. Capacity 275 lb. Arm-height reference origin not explicit so floor clearance withheld.
branch-verve,41.9,52.1,41.9,48.3,,,124.7,,,manufacturer,Branch Verve product specifications,https://www.branchfurniture.com/collections/seating/products/verve-chair,2026-09-20,Published seat height 16.5-20.5 inches and depth 16.5-19. Capacity 275 lb. Arm-height reference origin not explicit so floor clearance withheld.
herman-miller-embody,40.6,52.1,38.1,45.7,,,136.1,,,manufacturer,Herman Miller Embody US product dimensions,https://store.hermanmiller.com/office-chairs-ergonomic-chairs/embody-chair/100147379.html?lang=en_US,2026-09-20,US standard-height office Embody; not Gaming. Seat height 16-20.5 inches; depth 15-18; capacity 300 lb. Other cylinder options excluded.
herman-miller-lino,,,,,,,159,,,manufacturer,Herman Miller Lino product sheet,https://www.hermanmiller.com/content/dam/hermanmiller/documents/product_literature/product_sheets/lino_chairs_product_sheet.pdf,2026-09-20,Manufacturer explicitly publishes 159 kg capacity. Seat dimensions withheld pending fixed-versus-adjustable and regional configuration resolution.
okamura-contessa-ii,,,,,,,136,,,manufacturer,Okamura Contessa II official product page,https://www.okamura.com/products/contessa-ii/,2026-09-20,Official tested user weight 136 kg. Seat and arm dimensions withheld pending regional and seat-material configuration resolution.
